Geo,Price_Index,Year,Quarter
CY,100.64,2005,Q4
CY,103.04,2006,Q1
CY,106.44,2006,Q2
CY,110.64,2006,Q3
CY,114.16,2006,Q4
CY,116.41,2007,Q1
CY,119.71,2007,Q2
CY,124.05,2007,Q3
CY,125.11,2007,Q4
CY,129.59,2008,Q1
CY,130.42,2008,Q2
CY,128.69,2008,Q3
CY,123.96,2008,Q4
CY,122.4,2009,Q1
CY,121.17,2009,Q2
CY,119.19,2009,Q3
CY,116.27,2009,Q4
CY,114.37,2010,Q1
CY,112.79,2010,Q2
CY,112.39,2010,Q3
CY,112.05,2010,Q4
CY,111.56,2011,Q1
CY,113.99,2011,Q2
CY,111.22,2011,Q3
CY,107.6,2011,Q4
CY,106.4,2012,Q1
CY,106.02,2012,Q2
CY,110.14,2012,Q3
CY,108.22,2012,Q4
CY,104.54,2013,Q1
CY,104.77,2013,Q2
CY,103.05,2013,Q3
CY,100.78,2013,Q4
CY,98.08,2014,Q1
CY,103.55,2014,Q2
CY,102.7,2014,Q3
CY,101.56,2014,Q4
CY,97.52,2015,Q1
CY,100.59,2015,Q2
CY,102.49,2015,Q3
CY,99.4,2015,Q4
CY,97.29,2016,Q1
CY,99.18,2016,Q2
CY,101.87,2016,Q3
CY,102.72,2016,Q4
CY,99.64,2017,Q1
CY,102.74,2017,Q2
CY,102.46,2017,Q3
CY,105.24,2017,Q4
CY,103.1,2018,Q1
CY,104.01,2018,Q2
CY,103.12,2018,Q3
CY,107.04,2018,Q4
CY,107.93,2019,Q1
CY,112.73,2019,Q2
CY,105.64,2019,Q3
CY,106.51,2019,Q4
CY,109.13,2020,Q1
CY,109.48,2020,Q2
CY,104.21,2020,Q3
CY,109.1,2020,Q4
CY,102.84,2021,Q1
CY,104.23,2021,Q2
CY,106.8,2021,Q3
CY,103.44,2021,Q4
CY,103.95,2022,Q1
CY,106.35,2022,Q2
CY,112.51,2022,Q3
CY,108.03,2022,Q4
CZ,97.2,2008,Q1
CZ,101.2,2008,Q2
CZ,102.7,2008,Q3
CZ,102.1,2008,Q4
CZ,99.9,2009,Q1
CZ,96.7,2009,Q2
CZ,95.9,2009,Q3
CZ,95.2,2009,Q4
CZ,95.2,2010,Q1
CZ,95.4,2010,Q2
CZ,95.1,2010,Q3
CZ,95.2,2010,Q4
CZ,95.4,2011,Q1
CZ,95.9,2011,Q2
CZ,95.3,2011,Q3
CZ,94.4,2011,Q4
CZ,93.9,2012,Q1
CZ,94,2012,Q2
CZ,93.8,2012,Q3
CZ,93.7,2012,Q4
CZ,93.6,2013,Q1
CZ,94.1,2013,Q2
CZ,94,2013,Q3
CZ,93.8,2013,Q4
CZ,95,2014,Q1
CZ,95.8,2014,Q2
CZ,96.6,2014,Q3
CZ,97.3,2014,Q4
CZ,98.3,2015,Q1
CZ,99.4,2015,Q2
CZ,100.6,2015,Q3
CZ,101.7,2015,Q4
CZ,103,2016,Q1
CZ,105.1,2016,Q2
